IMAGE,JNAME,RA,DEC
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Fornax dSph/J023813.2-333429.7.png"")",J023813.2-333429.7,39.55496,-33.57492
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Fornax dSph/J023841.3-341633.1.png"")",J023841.3-341633.1,39.67225,-34.27586
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Fornax dSph/J023851.7-341822.6.png"")",J023851.7-341822.6,39.71562,-34.30628
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Fornax dSph/J023912.0-341452.1.png"")",J023912.0-341452.1,39.80017,-34.2478
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Fornax dSph/J023917.1-334455.1.png"")",J023917.1-334455.1,39.82137,-33.74863
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Fornax dSph/J023918.3-341651.3.png"")",J023918.3-341651.3,39.82612,-34.28091
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Fornax dSph/J023928.8-341051.1.png"")",J023928.8-341051.1,39.86996,-34.18086
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Fornax dSph/J023929.1-342714.0.png"")",J023929.1-342714.0,39.87133,-34.45389
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Fornax dSph/J024000.8-341812.4.png"")",J024000.8-341812.4,40.00335,-34.30346
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Fornax dSph/J024008.1-343840.8.png"")",J024008.1-343840.8,40.03354,-34.64467
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Fornax dSph/J024012.4-341159.7.png"")",J024012.4-341159.7,40.05187,-34.19992
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Fornax dSph/J024026.0-343327.1.png"")",J024026.0-343327.1,40.10821,-34.55752
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Fornax dSph/J024038.7-335449.0.png"")",J024038.7-335449.0,40.16133,-33.91362
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Fornax dSph/J024054.5-342035.3.png"")",J024054.5-342035.3,40.22729,-34.34315
"=IMAGE(""https://raw.githubusercontent.com/joaofrancafisica/lastberu_in_comcam/main/Fornax dSph/J024330.4-334023.2.png"")",J024330.4-334023.2,40.87671,-33.67311
